as_of_date,expiry,tenor,forward0,market_vol,market_vol_dec,model_price,model_vol_dec,model_vol_bp,vol_error_bp
2014-10-31,1.0,1.0,0.016247576102614403,162.3,0.01623,0.0,,,
2014-11-28,1.0,1.0,0.01524297147989273,187.8,0.01878,0.0,,,
2014-12-31,1.0,1.0,0.015431244857609272,343.0,0.0343,0.0,,,
2015-01-30,1.0,1.0,0.012187113985419273,0.0,0.0,0.0,,,
2015-02-27,1.0,1.0,0.014409974217414856,0.0,0.0,0.0,,,
2015-03-31,1.0,1.0,0.013698315247893333,0.0,0.0,0.0,,,
2015-04-30,1.0,1.0,0.014290201477706432,0.0,0.0,0.0,,,
2015-05-29,1.0,1.0,0.014865651726722717,0.0,0.0,0.0,,,
2015-06-30,1.0,1.0,0.016319479793310165,0.0,0.0,0.0,,,
2015-07-31,1.0,1.0,0.015237380750477314,0.0,0.0,0.0,,,
2015-08-31,1.0,1.0,0.015259436331689358,0.0,0.0,0.0,,,
2015-09-30,1.0,1.0,0.013584711588919163,0.0,0.0,0.0,,,
2015-10-30,1.0,1.0,0.0140957310795784,0.0,0.0,0.0,,,
2015-11-30,1.0,1.0,0.014474257826805115,0.0,0.0,0.0,,,
2015-12-31,1.0,1.0,0.015515819191932678,0.0,0.0,0.0,,,
2016-01-29,1.0,1.0,0.012683277018368244,0.0,0.0,0.0,,,
2016-02-29,1.0,1.0,0.011607255786657333,0.0,0.0,0.0,,,
2016-03-31,1.0,1.0,0.011915015056729317,0.0,0.0,0.0,,,
2016-04-29,1.0,1.0,0.012525351718068123,0.0,0.0,0.0,,,
2016-05-31,1.0,1.0,0.012716836296021938,0.0,0.0,0.0,,,
2016-06-30,1.0,1.0,0.010237183421850204,0.0,0.0,0.0,,,
2016-07-29,1.0,1.0,0.010403158143162727,0.0,0.0,0.0,,,
2016-08-31,1.0,1.0,0.011077170260250568,0.0,0.0,0.0,,,
2016-09-30,1.0,1.0,0.011139629408717155,0.0,0.0,0.0,,,
2016-10-31,1.0,1.0,0.01249156054109335,0.0,0.0,0.0,,,
2016-11-30,1.0,1.0,0.015745270997285843,0.0,0.0,0.0,,,
2016-12-30,1.0,1.0,0.01672998256981373,0.0,0.0,0.0,,,
2017-01-31,1.0,1.0,0.016978416591882706,0.0,0.0,0.0,,,
2022-02-28,1.0,1.0,0.014483397826552391,243.8,0.024380000000000002,0.0,,,
2022-03-31,1.0,1.0,0.019087864086031914,105.9,0.01059,0.0,,,
2022-04-29,1.0,1.0,0.0234216395765543,72.2,0.00722,0.0,,,
2022-05-31,1.0,1.0,0.022785566747188568,64.5,0.00645,0.0,,,
2022-06-30,1.0,1.0,0.024568628519773483,68.2,0.0068200000000000005,0.0,,,
2022-07-29,1.0,1.0,0.022494403645396233,107.6,0.010759999999999999,0.0,,,
2022-08-31,1.0,1.0,0.02683972753584385,62.8,0.00628,0.0,,,
2022-09-30,1.0,1.0,0.03152616322040558,51.1,0.00511,0.0,,,
2022-10-31,1.0,1.0,0.03370104357600212,42.7,0.00427,0.0,,,
2022-11-30,1.0,1.0,0.03026686981320381,41.9,0.00419,0.0,,,
2022-12-30,1.0,1.0,0.03188709542155266,34.0,0.0034,0.0,,,
2023-01-31,1.0,1.0,0.029533302411437035,28.7,0.0028699999999999997,0.0,,,
2023-02-28,1.0,1.0,0.033487215638160706,28.1,0.00281,0.0,,,
2023-03-31,1.0,1.0,0.02917887270450592,37.6,0.0037600000000000003,0.0,,,
2023-04-28,1.0,1.0,0.02903791517019272,41.6,0.0041600000000000005,0.0,,,
2023-05-31,1.0,1.0,0.03102974221110344,37.5,0.00375,0.0,,,
2023-06-30,1.0,1.0,0.03309131786227226,31.6,0.00316,0.0,,,
2023-07-31,1.0,1.0,0.02540699392557144,33.7,0.00337,0.0,,,
2023-08-31,1.0,1.0,0.026275357231497765,36.0,0.0036,0.0,,,
2023-09-29,1.0,1.0,0.02796926349401474,28.8,0.00288,0.0,,,
2023-10-31,1.0,1.0,0.027246635407209396,32.5,0.00325,0.0,,,
2023-11-30,1.0,1.0,0.02383708767592907,39.7,0.0039700000000000004,0.0,,,
2023-12-29,1.0,1.0,0.01948140189051628,51.9,0.00519,0.0,,,
2024-01-31,1.0,1.0,0.020848790183663368,47.6,0.00476,0.0,,,
2024-02-29,1.0,1.0,0.023247428238391876,37.1,0.00371,0.0,,,
